clip_id,source,angle_median,angle_min,angle_max,p1_x,p1_y,p2_x,p2_y,camera_x,camera_y,camera_height,focal_px,n_frames_used,n_frames_hip_fallback,reproj_rmse_px
01chudan-1_09,01chudan-1_norm.mp4,81.98,69.24,89.24,-1.290,-0.567,-0.935,1.072,5.665,-0.018,1.132,1427.5,60,0,2.69
01chudan-1_10,01chudan-1_norm.mp4,82.78,67.10,86.76,-1.275,-0.430,-1.002,1.088,5.665,-0.018,1.132,1427.5,60,0,2.69
01chudan-1_11,01chudan-1_norm.mp4,81.65,68.28,87.59,-1.296,-0.473,-1.008,1.091,5.665,-0.018,1.132,1427.5,60,0,2.69
01chudan-1_12,01chudan-1_norm.mp4,79.82,70.24,87.21,-1.406,-0.504,-1.024,1.093,5.665,-0.018,1.132,1427.5,60,0,2.69
01chudan-1_13,01chudan-1_norm.mp4,82.46,69.93,89.92,-1.266,-0.127,-1.109,0.967,5.665,-0.018,1.132,1427.5,60,0,2.69
01chudan-1_14,01chudan-1_norm.mp4,75.71,64.62,84.19,-1.488,-0.301,-1.022,0.970,5.665,-0.018,1.132,1427.5,60,0,2.69
01chudan-1_15,01chudan-1_norm.mp4,82.91,64.97,89.62,-1.308,-0.107,-1.080,0.970,5.665,-0.018,1.132,1427.5,60,0,2.69
01chudan-1_16,01chudan-1_norm.mp4,81.95,72.85,88.90,-1.369,-0.266,-1.186,1.218,5.665,-0.018,1.132,1427.5,60,0,2.69
01chudan-1_17,01chudan-1_norm.mp4,83.07,71.54,89.99,-1.330,-0.039,-1.139,1.373,5.665,-0.018,1.132,1427.5,60,0,2.69
01chudan-1_18,01chudan-1_norm.mp4,80.56,74.12,89.10,-1.254,0.023,-1.063,1.392,5.665,-0.018,1.132,1427.5,60,0,2.69
01chudan-1_19,01chudan-1_norm.mp4,83.35,69.41,89.37,-1.294,-0.049,-1.003,1.458,5.665,-0.018,1.132,1427.5,60,0,2.69
01chudan-2_11,01chudan-2_norm.mp4,59.83,53.37,77.58,-1.124,-0.762,-0.123,0.857,5.665,-0.018,1.132,1427.5,60,0,2.69
01chudan-2_12,01chudan-2_norm.mp4,58.78,48.22,71.17,-1.131,-0.757,-0.119,0.733,5.665,-0.018,1.132,1427.5,60,0,2.69
01chudan-2_13,01chudan-2_norm.mp4,57.08,45.03,72.68,-1.083,-0.748,-0.045,0.773,5.665,-0.018,1.132,1427.5,60,0,2.69
01chudan-2_14,01chudan-2_norm.mp4,52.45,44.91,70.98,-1.133,-0.752,0.012,0.696,5.665,-0.018,1.132,1427.5,60,0,2.69
01chudan-2_15,01chudan-2_norm.mp4,63.46,51.86,75.60,-0.857,-0.619,-0.287,0.330,5.665,-0.018,1.132,1427.5,60,0,2.69
01chudan-2_16,01chudan-2_norm.mp4,68.60,55.30,89.21,-0.821,-0.625,-0.271,0.443,5.665,-0.018,1.132,1427.5,60,0,2.69
01chudan-2_17,01chudan-2_norm.mp4,63.48,48.26,74.12,-0.883,-0.631,-0.224,0.371,5.665,-0.018,1.132,1427.5,60,0,2.69
01chudan-2_18,01chudan-2_norm.mp4,57.02,43.83,73.45,-0.906,-0.630,-0.311,0.287,5.665,-0.018,1.132,1427.5,60,0,2.69
01chudan-2_19,01chudan-2_norm.mp4,56.18,41.07,78.81,-0.898,-0.657,-0.289,0.382,5.665,-0.018,1.132,1427.5,60,0,2.69
01chudan-2_20,01chudan-2_norm.mp4,51.58,38.03,68.19,-0.950,-0.682,-0.199,0.270,5.665,-0.018,1.132,1427.5,60,0,2.69
01chudan-2_21,01chudan-2_norm.mp4,57.61,40.98,71.83,-0.964,-0.667,-0.329,0.392,5.665,-0.018,1.132,1427.5,60,0,2.69
01chudan-3_09,01chudan-3_norm.mp4,75.82,61.19,88.57,-0.111,-1.100,0.213,0.492,6.346,0.291,1.331,1609.9,60,0,5.42
01chudan-3_10,01chudan-3_norm.mp4,75.39,61.32,88.48,-0.050,-1.116,0.274,0.390,6.346,0.291,1.331,1609.9,60,0,5.42
01chudan-3_11,01chudan-3_norm.mp4,73.56,62.35,85.75,-0.033,-1.111,0.340,0.438,6.346,0.291,1.331,1609.9,60,0,5.42
01chudan-3_12,01chudan-3_norm.mp4,77.06,62.91,88.30,-0.039,-1.117,0.252,0.482,6.346,0.291,1.331,1609.9,60,0,5.42
01chudan-3_13,01chudan-3_norm.mp4,50.81,41.98,88.30,0.005,-0.976,0.588,0.134,6.346,0.291,1.331,1609.9,60,0,5.42
01chudan-3_14,01chudan-3_norm.mp4,70.57,60.14,87.46,0.058,-0.998,0.269,0.032,6.346,0.291,1.331,1609.9,60,0,5.42
01chudan-3_15,01chudan-3_norm.mp4,66.74,58.53,83.70,0.020,-1.003,0.366,0.185,6.346,0.291,1.331,1609.9,60,0,5.42
01chudan-3_16,01chudan-3_norm.mp4,66.11,54.03,89.50,0.055,-0.991,0.379,0.077,6.346,0.291,1.331,1609.9,60,0,5.42
01chudan-3_17,01chudan-3_norm.mp4,64.85,49.25,85.67,0.005,-1.338,0.410,0.059,6.346,0.291,1.331,1609.9,60,0,5.42
01chudan-3_18,01chudan-3_norm.mp4,66.08,50.35,83.93,-0.073,-1.394,0.282,-0.028,6.346,0.291,1.331,1609.9,60,0,5.42
01chudan-3_19,01chudan-3_norm.mp4,65.65,58.00,83.90,-0.091,-1.419,0.241,-0.066,6.346,0.291,1.331,1609.9,60,0,5.42
01chudan-3_20,01chudan-3_norm.mp4,64.91,55.86,84.59,-0.105,-1.466,0.337,0.018,6.346,0.291,1.331,1609.9,60,0,5.42
01chudan-4_11,01chudan-4_norm.mp4,54.75,45.82,63.65,-1.164,-0.832,-0.019,0.762,6.445,0.103,1.355,1630.8,60,0,7.30
01chudan-4_12,01chudan-4_norm.mp4,53.09,45.67,63.36,-1.157,-0.750,0.042,0.756,6.445,0.103,1.355,1630.8,60,0,7.30
01chudan-4_13,01chudan-4_norm.mp4,50.92,43.37,56.02,-1.201,-0.751,-0.039,0.759,6.445,0.103,1.355,1630.8,60,0,7.30
01chudan-4_14,01chudan-4_norm.mp4,53.11,44.79,59.53,-1.190,-0.673,-0.078,0.762,6.445,0.103,1.355,1630.8,60,0,7.30
01chudan-4_15,01chudan-4_norm.mp4,54.15,46.40,62.32,-0.963,-0.448,-0.131,0.637,6.445,0.103,1.355,1630.8,60,0,7.30
01chudan-4_16,01chudan-4_norm.mp4,49.38,45.10,59.71,-1.096,-0.376,-0.189,0.634,6.445,0.103,1.355,1630.8,60,0,7.30
01chudan-4_17,01chudan-4_norm.mp4,49.34,44.20,58.73,-1.016,-0.308,-0.126,0.644,6.445,0.103,1.355,1630.8,60,0,7.30
